Date,Gallons Sold,Fuel Sales ($),Items Sold,Store Sales ($),Expenses ($)
2023-10-01,370,675.76,142,1174,1167
2023-10-02,465,1510.57,100,940,1134
2023-10-03,453,2272.1,169,789,1201
2023-10-04,477,1558.25,78,994,1262
2023-10-05,360,867.7,133,324,1413
2023-10-06,482,2197.47,41,218,1227
2023-10-07,548,1547.28,129,316,1007
2023-10-08,445,933.87,164,576,922
2023-10-09,554,1264.99,178,842,1209
2023-10-10,418,1014.85,140,1189,794
2023-10-11,312,1565.71,46,458,616
2023-10-12,527,1357.72,164,293,1352
2023-10-13,566,1565.57,111,761,1132
2023-10-14,465,773.07,96,412,1209
2023-10-15,406,862.81,118,208,711
2023-10-16,464,1139.92,139,540,800
2023-10-17,233,875.04,163,885,1285
2023-10-18,465,718.01,160,275,1404
2023-10-19,225,1222.71,192,630,909
2023-10-20,398,819.11,52,287,917
2023-10-21,387,847.26,132,295,717
2023-10-22,560,1265.94,65,758,607
2023-10-23,399,1218.97,65,853,504
2023-10-24,447,1510.64,93,1041,615
2023-10-25,318,1170.99,173,412,1044
2023-10-26,270,915.19,67,876,585
2023-10-27,547,769.19,40,659,1171
2023-10-28,295,1748.7,63,745,650
2023-10-29,550,1911.62,182,479,1104
2023-10-30,438,2003.48,54,630,519
2023-10-31,289,1368.1,125,481,999
