Date,Gallons Sold,Fuel Sales ($),Items Sold,Store Sales ($),Expenses ($)
2023-12-01,288,1608.68,162,223,1295
2023-12-02,598,1998.02,138,554,936
2023-12-03,447,2073.42,92,912,906
2023-12-04,315,1067.11,155,957,712
2023-12-05,378,960.62,180,220,1196
2023-12-06,392,1599.22,161,633,720
2023-12-07,267,951.13,193,226,1315
2023-12-08,506,1109.16,144,354,615
2023-12-09,370,1803.57,113,820,1189
2023-12-10,425,1884.5,167,201,1116
2023-12-11,476,1481.92,76,743,987
2023-12-12,322,1622.76,169,876,1062
2023-12-13,348,1518.86,148,1097,1020
2023-12-14,255,1068.2,164,229,1363
2023-12-15,574,1305.34,163,354,978
2023-12-16,430,1581.08,66,961,1368
2023-12-17,292,736.16,63,400,852
2023-12-18,534,867.61,122,1139,710
2023-12-19,369,1495.65,65,496,1351
2023-12-20,323,2069.54,62,1029,995
2023-12-21,514,938.57,159,224,1393
2023-12-22,336,917.07,47,1187,836
2023-12-23,352,1899.36,95,1041,767
2023-12-24,346,1586.31,73,775,944
2023-12-25,505,1603.39,199,535,519
2023-12-26,242,734.64,44,988,661
2023-12-27,371,791.26,187,1170,1499
2023-12-28,411,713.2,135,689,812
2023-12-29,455,1270.0,154,465,964
2023-12-30,377,891.74,65,879,761
2023-12-31,580,1188.7,141,270,1268
