Date,Gallons Sold,Fuel Sales ($),Items Sold,Store Sales ($),Expenses ($)
2024-02-01,466,2126.57,105,746,1264
2024-02-02,436,1997.02,145,608,1368
2024-02-03,491,1338.39,79,547,1156
2024-02-04,342,1256.68,99,550,934
2024-02-05,441,1405.06,97,978,753
2024-02-06,375,1217.64,175,1156,1194
2024-02-07,391,1640.84,100,816,542
2024-02-08,568,1292.72,165,1012,1077
2024-02-09,485,1465.97,67,594,1008
2024-02-10,398,1002.21,138,594,789
2024-02-11,576,1495.08,88,233,1191
2024-02-12,447,1060.91,115,586,708
2024-02-13,447,1068.25,58,931,1495
2024-02-14,565,1510.88,49,212,1463
2024-02-15,383,2089.29,178,856,522
2024-02-16,413,898.27,43,377,780
2024-02-17,411,1211.14,163,977,1478
2024-02-18,489,854.44,98,1000,1418
2024-02-19,551,1337.9,58,579,819
2024-02-20,306,1285.43,167,946,548
2024-02-21,443,1586.55,95,988,1278
2024-02-22,293,1135.73,168,918,606
2024-02-23,277,1779.91,69,1200,786
2024-02-24,456,1119.94,93,1084,801
2024-02-25,227,1926.2,65,708,1202
2024-02-26,600,1688.07,186,636,678
2024-02-27,567,2163.05,81,273,1499
2024-02-28,472,1312.59,104,1038,983
